episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,2.3386854602037923,30.27787739944909,38.44810887971012,0.9283012964467441
2,baseline,2.4012927559911286,29.375493524785153,36.497420564713984,0.9296877594452778
3,baseline,2.409864889839685,28.98281522072755,37.01193846549295,0.9324399908910237
4,baseline,2.3509468233168462,29.120203121412203,38.71380677457122,0.9269067553091287
5,baseline,2.4201589144277404,28.102952182655148,37.55259942119622,0.933317486626192
6,baseline,2.3794278522545786,30.646829533635092,36.572386856456745,0.9309530450141039
7,baseline,2.368987772769137,30.60987966579215,36.701650694901275,0.9288045949957513
8,baseline,2.468008665297022,27.39199049338325,36.633691642740246,0.937130577004873
9,baseline,2.4432793523734073,28.1975038379715,36.41364060204005,0.9338755602934096
10,baseline,2.438484896402243,28.333972981134195,36.17307136648601,0.9321564458386618
11,baseline,2.422446007761367,28.249034748529326,37.49340392019871,0.934323695283982
12,baseline,2.4612615509735933,27.152014142805474,36.93364566492439,0.9357436867820477
13,baseline,2.381112950020746,27.736783057636412,39.3640725099354,0.9307825153430456
14,baseline,2.34387918072351,30.210026704428277,38.33112631883029,0.9286755602971704
15,baseline,2.3547466117615707,29.99148114061157,38.30863028547597,0.9301872100708304
16,baseline,2.3628591420740785,31.143152436851025,37.26390813544106,0.9327500883799801
17,baseline,2.3814218978274244,29.951000746576057,38.561370928516745,0.9379173328323201
18,baseline,2.46106182521616,26.828412489103084,35.964014973905925,0.929227593619085
19,baseline,2.383070257960533,29.31768557586881,38.06940008915029,0.9327029928152287
20,baseline,2.4281525350715514,28.08096222363198,37.93255327307661,0.9371057112514308
